ID,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
1.U5MR 1.Total 1.Median,46.2,46.5,46.5,46.1,45.6,45.3,45.1,45,45.2,45.6,46.3,47.4,48.8,50.6,53,55.8,59,62.7,66.6,70.8,74.7,78,80.4,81.7,82.2,81.7,81.1,80.5,80.5,81.3
1.U5MR 1.Total 2.Lower,33.1,34.5,35.6,36.2,36.4,36.3,36.1,36.1,36,36.2,36.6,37.4,38.8,40.6,43,45.8,49.1,53,57.3,61.5,65.3,68.4,70.6,71.9,72.3,71.8,70.8,70.1,70.2,71.1
1.U5MR 1.Total 3.Upper,63.8,61.8,59.9,58,56.8,56.1,55.7,55.9,56.1,57,58,59.4,61,62.8,65.1,67.7,70.5,73.9,77.4,81.3,85.3,89.1,91.6,92.9,93.5,93.5,93.4,93,92.9,93.6
1.U5MR 2.Male 1.Median,51.6,52,51.9,51.5,51,50.6,50.5,50.3,50.6,51.1,51.9,53.1,54.6,56.6,59.3,62.3,65.7,69.9,74.2,78.6,82.8,86.4,88.9,90.3,90.8,90.4,89.6,89,89,89.9
1.U5MR 2.Male 2.Lower,36.9,38.4,39.7,40.3,40.6,40.6,40.4,40.4,40.3,40.5,40.9,41.9,43.4,45.3,48,51.1,54.6,59,63.6,68.2,72.3,75.5,77.8,79.3,79.6,79.1,77.9,77.3,77.4,78.3
1.U5MR 2.Male 3.Upper,71.3,69.2,67,64.9,63.6,62.7,62.5,62.7,63.1,64,65.2,66.7,68.5,70.6,73.1,75.7,78.9,82.4,86.4,90.6,95,99,101.6,103.1,103.7,103.7,103.4,103.2,103.1,103.7
1.U5MR 3.Female 1.Median,40.5,40.8,40.7,40.4,40,39.7,39.4,39.4,39.5,39.8,40.4,41.4,42.7,44.4,46.4,48.9,51.9,55.2,58.8,62.5,66.1,69.2,71.3,72.7,73.1,72.7,72,71.5,71.6,72.3
1.U5MR 3.Female 2.Lower,28.9,30.2,31.1,31.7,31.6,31.6,31.5,31.5,31.4,31.5,31.8,32.5,33.7,35.4,37.4,40,43,46.5,50.3,54,57.4,60.1,62.2,63.5,63.9,63.5,62.7,62.1,62.1,63.1
1.U5MR 3.Female 3.Upper,56.1,54.6,52.7,51.1,49.9,49.2,48.9,48.9,49.3,49.9,50.8,52,53.5,55.2,57.1,59.5,62.3,65.2,68.6,72.3,76,79.5,81.8,83,83.3,83.4,83.2,82.9,83,83.6
2.IMR 1.Total 1.Median,39.6,39.9,39.9,39.6,39.2,38.9,38.8,38.7,38.9,39.2,39.7,40.6,41.7,43.1,45,47.1,49.5,52.3,55.2,58.3,61.2,63.6,65.3,66.2,66.6,66.2,65.8,65.4,65.3,65.9
2.IMR 1.Total 2.Lower,29,30.2,31.1,31.6,31.8,31.7,31.5,31.5,31.4,31.6,31.9,32.6,33.7,35.2,37.1,39.3,41.9,45,48.3,51.4,54.3,56.5,58.1,59.1,59.4,59,58.2,57.7,57.8,58.5
2.IMR 1.Total 3.Upper,53.1,51.7,50.2,48.8,47.9,47.4,47,47.2,47.4,48,48.8,49.8,51.1,52.4,54.1,56,58.1,60.5,63.1,66,68.8,71.5,73.3,74.2,74.6,74.6,74.6,74.3,74.2,74.7
2.IMR 2.Male 1.Median,44.5,44.8,44.7,44.4,44.1,43.8,43.6,43.5,43.7,44.1,44.7,45.7,46.9,48.6,50.6,53,55.7,58.8,62.1,65.5,68.6,71.3,73.2,74.3,74.6,74.3,73.7,73.2,73.3,73.8
2.IMR 2.Male 2.Lower,32.5,33.8,34.8,35.4,35.6,35.5,35.4,35.3,35.3,35.5,35.9,36.7,37.8,39.5,41.6,44.2,47,50.4,54,57.5,60.6,63,64.8,65.9,66.1,65.8,64.9,64.5,64.5,65.2
2.IMR 2.Male 3.Upper,59.7,58.1,56.5,54.8,54,53.3,53.1,53.2,53.5,54.3,55.2,56.2,57.6,59.3,61.2,63.2,65.6,68.3,71.3,74.4,77.7,80.6,82.6,83.9,84.2,84.1,83.9,83.6,83.5,84
2.IMR 3.Female 1.Median,34.5,34.8,34.7,34.4,34.1,33.8,33.7,33.7,33.7,34,34.5,35.2,36.2,37.5,39,40.9,43.1,45.4,48,50.7,53.2,55.3,56.9,57.8,58,57.8,57.3,57,57,57.6
2.IMR 3.Female 2.Lower,25.2,26.2,27,27.4,27.4,27.4,27.2,27.1,27.2,27.2,27.5,28.1,29,30.3,31.9,33.9,36.2,38.8,41.6,44.3,46.7,48.7,50.1,51,51.3,50.9,50.3,50,50.1,50.6
2.IMR 3.Female 3.Upper,46.6,45.5,44,42.8,41.9,41.4,41.1,41.2,41.4,41.9,42.5,43.5,44.6,45.8,47.2,48.8,50.8,52.9,55.3,57.9,60.6,62.9,64.4,65.2,65.6,65.6,65.5,65.2,65.3,65.8
3.NMR 1.Total 1.Median,20.4,20.5,20.5,20.4,20.3,20.2,20.1,20.1,20.2,20.3,20.6,20.8,21.2,21.8,22.4,23.2,24,24.9,25.9,26.9,27.7,28.5,29,29.3,29.3,29.1,28.8,28.2,27.7,27.1
3.NMR 1.Total 2.Lower,12.4,12.9,13.3,13.5,13.7,13.8,13.9,13.9,14,14.2,14.4,14.7,15.2,15.8,16.5,17.4,18.4,19.5,20.7,21.8,22.9,23.9,24.5,24.8,24.9,24.7,24.3,23.7,23.3,22.9
3.NMR 1.Total 3.Upper,32,31.2,30.4,29.6,28.9,28.5,28.2,28,28,28.1,28.2,28.4,28.8,29.3,29.8,30.4,31,31.6,32.4,32.9,33.4,33.9,34.4,34.7,34.6,34.5,34.2,33.7,32.9,32.3
4.10q5 1.Total 1.Median,3.7,3.8,3.9,3.9,4,4.1,4.1,4.2,4.4,4.5,4.7,4.9,5.2,5.4,5.5,5.6,5.8,5.9,6,6.1,6.3,6.4,6.6,6.8,7,7.1,7.1,7.2,7.2,7.2
4.10q5 1.Total 2.Lower,3.2,3.4,3.5,3.7,3.8,3.9,4,4.1,4.2,4.4,4.6,4.8,5,5.2,5.4,5.5,5.6,5.7,5.8,6,6.1,6.3,6.5,6.7,6.8,6.9,7,7,7,7
4.10q5 1.Total 3.Upper,4.3,4.3,4.2,4.2,4.2,4.2,4.3,4.4,4.5,4.7,4.9,5.1,5.3,5.5,5.7,5.8,5.9,6,6.1,6.3,6.4,6.6,6.8,7,7.1,7.2,7.3,7.3,7.4,7.4
5.10q15 1.Total 1.Median,10.2,10.4,10.5,10.7,10.8,10.9,11,11.1,11.2,11.5,11.9,12.5,13.2,13.8,14.1,14.2,14.3,14.3,14.4,14.6,14.8,14.8,14.7,14.4,14.1,13.8,13.5,13.2,13,12.7
5.10q15 1.Total 2.Lower,7.9,8.6,9.3,9.9,10.3,10.6,10.7,10.8,10.9,11.2,11.6,12.3,12.9,13.4,13.8,13.9,14,14,14.1,14.3,14.5,14.5,14.4,14.1,13.8,13.4,13.2,12.9,12.7,12.4
5.10q15 1.Total 3.Upper,13.1,12.4,11.9,11.5,11.3,11.2,11.3,11.4,11.6,11.8,12.3,12.8,13.5,14.2,14.4,14.5,14.6,14.6,14.7,14.9,15.2,15.2,15,14.7,14.4,14.1,13.8,13.6,13.3,13.1
